DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
141259,141259,,MiniPAT,00:00:00 13-Oct-2015,,,,0.375000,0.375000,TimeSeries,51.000000,4.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 14-Oct-2015,,,,0.000000,0.500000,TAD,48.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 15-Oct-2015,,,,0.000000,0.500000,TAD,88.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 16-Oct-2015,,,,0.000000,4.000000,PDT,56.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 17-Oct-2015,,,,16.000000,16.000000,LightLoc,16.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 18-Oct-2015,,,,0.000000,0.500000,TAD,16.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 19-Oct-2015,,,,16.000000,16.000000,LightLoc,51.000000,4.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 20-Oct-2015,,,,0.000000,4.000000,PDT,192.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 21-Oct-2015,,,,0.000000,0.500000,TAD,264.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 22-Oct-2015,,,,0.000000,0.500000,TAD,291.750000,24.500000,TimeSeries
141259,141259,,MiniPAT,00:00:00 23-Oct-2015,,,,16.000000,16.000000,LightLoc,208.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 24-Oct-2015,,,,16.000000,16.000000,LightLoc,269.500000,22.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 25-Oct-2015,,,,0.000000,0.500000,TAD,336.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 26-Oct-2015,,,,16.000000,16.000000,LightLoc,240.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 27-Oct-2015,,,,16.000000,16.000000,LightLoc,247.000000,21.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 28-Oct-2015,,,,0.000000,0.500000,TAD,336.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 29-Oct-2015,,,,16.000000,16.000000,LightLoc,272.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 30-Oct-2015,,,,0.000000,0.500000,TAD,474.000000,39.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 31-Oct-2015,,,,0.000000,4.000000,PDT,336.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 01-Nov-2015,,,,0.000000,0.500000,TAD,281.500000,19.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 02-Nov-2015,,,,0.000000,0.500000,TAD,328.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 03-Nov-2015,,,,16.000000,16.000000,LightLoc,298.500000,25.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 04-Nov-2015,,,,16.000000,16.000000,LightLoc,234.000000,18.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 05-Nov-2015,,,,0.000000,0.500000,TAD,352.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 06-Nov-2015,,,,0.000000,0.500000,TAD,392.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 07-Nov-2015,,,,0.000000,4.000000,PDT,320.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 08-Nov-2015,,,,0.000000,0.500000,TAD,424.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 09-Nov-2015,,,,0.000000,0.500000,TAD,153.000000,13.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 10-Nov-2015,,,,0.375000,0.375000,TimeSeries,403.750000,32.500000,TimeSeries
141259,141259,,MiniPAT,00:00:00 11-Nov-2015,,,,0.000000,0.500000,TAD,328.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 12-Nov-2015,,,,0.000000,0.500000,TAD,664.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 13-Nov-2015,,,,0.000000,0.500000,TAD,298.500000,25.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 14-Nov-2015,,,,0.000000,0.500000,TAD,296.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 15-Nov-2015,,,,0.000000,0.500000,TAD,264.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 16-Nov-2015,,,,0.000000,4.000000,PDT,264.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 17-Nov-2015,,,,16.000000,16.000000,LightLoc,240.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 18-Nov-2015,,,,0.625000,0.625000,TimeSeries,320.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 19-Nov-2015,,,,0.000000,0.500000,TAD,320.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 20-Nov-2015,,,,0.000000,0.500000,TAD,224.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 21-Nov-2015,,,,0.000000,0.500000,TAD,250.000000,50.000000,TAD
141259,141259,,MiniPAT,00:00:00 22-Nov-2015,,,,16.000000,16.000000,LightLoc,247.000000,21.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 23-Nov-2015,,,,0.000000,0.500000,TAD,216.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 24-Nov-2015,,,,16.000000,16.000000,LightLoc,112.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 25-Nov-2015,,,,16.000000,16.000000,LightLoc,240.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 26-Nov-2015,,,,16.000000,16.000000,LightLoc,176.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 27-Nov-2015,,,,0.000000,0.500000,TAD,320.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 28-Nov-2015,,,,16.000000,16.000000,LightLoc,176.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 29-Nov-2015,,,,16.000000,16.000000,LightLoc,320.750000,27.500000,TimeSeries
141259,141259,,MiniPAT,00:00:00 30-Nov-2015,,,,16.000000,16.000000,LightLoc,301.250000,23.000000,TimeSeries
141259,141259,,MiniPAT,00:00:00 01-Dec-2015,,,,1.375000,1.375000,TimeSeries,336.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 02-Dec-2015,,,,0.000000,0.500000,TAD,416.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 03-Dec-2015,,,,16.000000,16.000000,LightLoc,161.000000,13.250000,TimeSeries
141259,141259,,MiniPAT,00:00:00 04-Dec-2015,,,,0.875000,0.875000,TimeSeries,368.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 05-Dec-2015,,,,8.000000,4.000000,PDT,424.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 06-Dec-2015,,,,0.000000,0.500000,TAD,384.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 07-Dec-2015,,,,0.000000,0.500000,TAD,384.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 08-Dec-2015,,,,16.000000,16.000000,LightLoc,336.500000,27.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 09-Dec-2015,,,,16.000000,16.000000,LightLoc,253.000000,15.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 10-Dec-2015,,,,16.000000,16.000000,LightLoc,149.750000,12.500000,TimeSeries
141259,141259,,MiniPAT,00:00:00 11-Dec-2015,,,,0.000000,0.500000,TAD,376.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 12-Dec-2015,,,,0.000000,0.500000,TAD,344.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 13-Dec-2015,,,,0.000000,0.500000,TAD,408.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 14-Dec-2015,,,,0.000000,0.500000,TAD,272.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 15-Dec-2015,,,,16.000000,16.000000,LightLoc,620.500000,51.750000,TimeSeries
141259,141259,,MiniPAT,00:00:00 16-Dec-2015,,,,0.000000,0.500000,TAD,176.000000,4.000000,PDT
141259,141259,,MiniPAT,00:00:00 17-Dec-2015,,,,0.000000,0.500000,TAD,464.000000,4.000000,PDT
